task_id,seed,weighted_ensemble,individual
359955,10,0.7476851851851852,0.7022417153996101
190411,3,0.9347927557879014,0.9339409073935774
190137,7,0.920921052631579,0.9177302631578949
359958,12,0.9584418402777778,0.9494900173611112
359960,8,1.0,0.999892426850258
359955,12,0.709307992202729,0.6642300194931774
359968,9,0.9186832784286528,0.9148482071351316
190137,0,0.9197368421052632,0.8869078947368421
359974,10,0.8864751645093646,0.8821240421609579
2073,1,0.8866394208174778,0.9000299423059289
359974,11,0.8750145652866612,0.7833925411768738
359958,18,0.9320746527777776,0.8766276041666667
359955,3,0.6666666666666666,0.6052631578947368
359958,6,0.9496527777777776,0.9280598958333331
359975,11,0.995223880597015,0.9361857379767828
359955,6,0.7892300194931773,0.6922514619883041
359955,20,0.8043372319688109,0.7397660818713451
2073,6,0.8940215700359311,0.9101118317826096
359955,19,0.6303606237816763,0.5933235867446393
359968,15,0.9335364393695456,0.9095311222846952
190411,11,0.9252084889220812,0.925472989793378
359958,0,0.9445529513888888,0.9220920138888888
146820,9,0.9973757138058448,0.9962000335908632
190137,4,0.919671052631579,0.905690789473684
359960,5,0.9999517211413124,0.999975860570656
359960,20,0.9999220739957853,0.9998441479915704
359974,2,0.9061977396905162,0.8044044554102949
359960,15,1.0,1.0
359962,15,0.8577677224736049,0.8591467356173239
359968,20,0.9392085469662068,0.9283473278346088
359955,18,0.7115009746588695,0.6956627680311891
190411,4,0.9458784540702015,0.9427666791137664
359960,12,1.0,1.0
2073,5,0.879521006026083,0.8604056742190471
359962,4,0.8438267614738204,0.8339151045033397
190137,8,0.915592105263158,0.9051315789473684
359960,3,0.999975860570656,1.0
359975,12,0.9785074626865672,0.9857379767827528
359962,6,0.8398405516052574,0.8382460676578324
359958,1,0.9283854166666666,0.8796657986111112
359968,8,0.9248672792873124,0.931406302892197
359975,7,0.9924378109452736,0.932072968490879
359974,15,0.8630356791619178,0.8993051993670876
190411,15,0.9181603186457556,0.9235359098829972
359974,0,0.8981935763048925,0.8013441723312272
146820,13,0.9985513940208264,0.9991812227074236
359962,0,0.8607196724843783,0.860137901314372
190137,12,0.9190789473684212,0.9160526315789476
359968,6,0.9392911103955612,0.93989382342985
359968,16,0.9435431270073232,0.9428248251719382
359962,2,0.8349924585218702,0.8448610213316096
359968,17,0.9197896283820044,0.9152197425672272
146820,7,0.997921565334229,0.9986143768894862
359962,7,0.7588019823313941,0.7506571859513036
359958,3,0.9278428819444444,0.9114583333333331
190411,0,0.9109098829972616,0.908023711725168
359974,16,0.8782511467416853,0.8531634796943092
359955,9,0.7324561403508771,0.7387914230019492
359962,12,0.8838612368024132,0.8805429864253395
146820,20,0.9988243197850184,0.99773261672825
359974,17,0.8734225170673486,0.788395499568607
359962,18,0.8455936220642103,0.841585865115277
359975,18,0.9982752902155888,0.9991376451077943
146820,12,0.9969138394356736,0.9963889821968424
359975,17,0.9908457711442786,0.989452736318408
146820,19,0.9974806852536112,0.998173496808868
359960,0,0.9999900667514304,1.0
2073,7,0.8905706059276458,0.8564071984969303
190137,16,0.9300657894736842,0.9042763157894737
359962,20,0.8764490411549235,0.8942253824606766
146820,8,0.9960950621430972,0.9964729593550554
359958,7,0.9151475694444444,0.9033203125
359958,17,0.9420572916666664,0.9378255208333331
146820,6,0.9832675512260663,0.981567013772254
359968,13,0.9396048514271088,0.9252057893476664
359962,1,0.8472096530920061,0.8355742296918768
359955,14,0.7760721247563354,0.7830165692007797
359955,11,0.7677875243664718,0.7174707602339181
359968,2,0.9226876047523508,0.9104021664643862
190137,19,0.9290131578947368,0.9240131578947368
359974,3,0.8792949063896491,0.8449421385710089
359960,17,1.0,1.0
359955,2,0.7740009746588693,0.7895955165692008
146820,18,0.997123782331206,0.9964729593550554
359962,5,0.820211161387632,0.8037491919844861
146820,16,0.9969348337252268,0.9962000335908632
190411,20,0.9208208862335076,0.915682567836694
190411,10,0.9092450833955688,0.9111004792133436
359968,3,0.9259406038689224,0.9324383457591294
190411,8,0.9308719193427932,0.9296272093602193
359955,8,0.7808235867446394,0.7824074074074072
190137,17,0.9102631578947368,0.9138815789473684
146820,15,0.9983624454148472,0.997837588176016
146820,17,0.9859338259993282,0.9863327175008398
190411,18,0.928117998506348,0.9293704879263132
146820,4,0.9800344306348672,0.985387974470944
359958,5,0.9483506944444444,0.9542100694444444
190411,19,0.9145973363206372,0.9076502987303958
190137,5,0.9214473684210528,0.8589473684210526
359975,0,0.9816252072968492,0.9946268656716418
359960,7,1.0,1.0
359974,14,0.7994868940397607,0.8019371385954702
359975,15,0.99787728026534,0.9932338308457712
359974,9,0.8806733094431498,0.8928610359802427
359974,4,0.8641729952759556,0.8172436892274467
190411,5,0.922368994274334,0.9190744025392084
146820,0,0.995654182062479,0.9937227074235808
190137,11,0.9257236842105264,0.9338815789473685
359968,7,0.9003541971119313,0.9025627688471668
359962,3,0.8634776987718163,0.8579185520361992
359962,17,0.8547080370609783,0.8516483516483517
190137,15,0.92,0.9002631578947368
359974,19,0.8911472757866375,0.8674816023227583
190411,14,0.9314164799601692,0.929790577545432
190137,18,0.9059210526315788,0.8551315789473684
359974,7,0.8422059017504291,0.7851274220141413
359968,12,0.9211354122804843,0.9092380221104864
359960,11,1.0,1.0
359958,11,0.9376085069444444,0.9319661458333331
359974,20,0.8641197016619018,0.7734285708421796
359974,5,0.8344279984474576,0.7856026835487756
359958,20,0.9032118055555556,0.8878038194444444
359960,14,1.0,1.0
359962,11,0.8665804783451843,0.8650290885585004
359975,1,0.9763847429519072,0.9847429519071312
359960,19,0.999431432823458,1.0
146820,1,0.997837588176016,0.9978795767551224
359958,4,0.9664713541666669,0.934787326388889
359968,18,0.897514015142133,0.8908552745646843
190137,10,0.93125,0.9205921052631578
190411,13,0.933524707493154,0.9274645257654968
359968,1,0.9294412932735574,0.924718665114474
2073,3,0.8907827088073338,0.8942513817795701
190137,13,0.8967763157894737,0.8617105263157895
359975,10,0.9889883913764512,0.9743283582089552
359955,16,0.8184697855750487,0.7272173489278753
359958,16,0.9248046875,0.9239366319444444
359974,1,0.8792593840221821,0.8197120819429159
359955,5,0.7491471734892787,0.704556530214425
359968,19,0.9253544035205046,0.9192323252338608
359958,19,0.9518229166666666,0.9358723958333334
359960,2,1.0,0.9998562177062424
190411,7,0.9226023773960668,0.9205213778939504
146820,2,0.9962000335908632,0.9973757138058448
2073,0,0.9138520733133076,0.9063229034256044
359962,8,0.8452488687782806,0.8602240896358544
359955,1,0.7317251461988302,0.7392787524366471
359960,16,0.999250387103379,0.999975860570656
190137,14,0.9338157894736844,0.8530921052631579
359974,6,0.8700861040626277,0.7926406716023848
359975,19,0.991641791044776,0.973665008291874
359974,18,0.8529428872276874,0.8320104643133612
359975,3,0.9987396351575456,0.9976119402985076
190411,17,0.9237381752551654,0.92291355489171
190411,16,0.9140060990789146,0.9151807941249688
190411,12,0.9257530495394573,0.9228707679860592
146820,11,0.996514947934162,0.9951083305340948
359960,6,0.999975860570656,1.0
359955,17,0.7257553606237817,0.6357212475633528
190137,9,0.9292105263157896,0.9123684210526316
190137,3,0.8804605263157894,0.8713815789473685
359962,14,0.839258780435251,0.8165050635638871
359955,4,0.6793372319688109,0.68067738791423
359958,10,0.9202473958333334,0.9142795138888888
190411,1,0.9111821633059496,0.90889500871297
359968,5,0.9299696992214268,0.9131143751186848
359975,16,0.9955555555555556,0.9951575456053068
2073,2,0.8616850440654064,0.8798867078287979
359975,5,0.9905804311774462,0.8654726368159205
359975,6,0.9982752902155888,0.9985406301824212
359968,14,0.9351629389278312,0.9275216935410628
146820,3,0.979929459187101,0.9840863285186428
359962,10,0.7939668174962293,0.8117431588019823
359975,9,0.9917081260364844,0.9811608623548922
359968,10,0.9030540212518268,0.8888407268884322
359975,8,0.964311774461028,0.8963847429519072
359955,7,0.7797270955165692,0.7543859649122808
359974,12,0.8718823910181008,0.8655898074476128
359960,13,1.0,1.0
359975,13,0.9921724709784412,0.9917744610281924
359968,0,0.9246856397427324,0.9294578059594284
359955,0,0.6905458089668616,0.6549707602339181
359968,11,0.9408928409250408,0.9285248392077212
359958,8,0.9408637152777778,0.9320746527777778
190411,9,0.905005290017426,0.9047874657704754
2073,4,0.8826665666186324,0.8790227256957058
359975,14,0.9946268656716418,0.9871310116086236
359974,13,0.8402424611568421,0.8205167498089961
190137,2,0.935657894736842,0.9058552631578948
190411,6,0.9292771346776202,0.9325756161314416
190137,20,0.9521052631578948,0.9390460526315788
359962,19,0.8468433527257057,0.8539969834087481
359975,20,0.9878606965174128,0.7666666666666666
359960,18,1.0,0.999987930285328
359958,15,0.94775390625,0.9471028645833334
359974,8,0.8499842529223142,0.8517463621720027
359958,2,0.9459635416666666,0.9422200520833334
359962,13,0.8178194354664943,0.8112691230338289
359960,4,1.0,1.0
359968,4,0.9146459267332128,0.9180516681940902
359955,13,0.7167397660818713,0.7369639376218323
146820,5,0.9976906281491434,0.997480685253611
359962,16,0.8313510019392373,0.8162249515190693
359958,9,0.92578125,0.9008246527777778
359960,1,1.0,1.0
359975,2,0.9893864013266996,0.9181426202321724
359962,9,0.8351432880844645,0.8235078646843352
359975,4,0.9261691542288556,0.9312437810945274
190137,6,0.9250657894736842,0.9392763157894736
359960,10,1.0,1.0
190411,2,0.9149396315658452,0.9178180234005476
359960,9,0.9999702002542912,1.0
2073,8,0.9160242298527336,0.9127307296217712
359958,13,0.9307725694444444,0.9332682291666669
359958,14,0.956488715277778,0.9425998263888888
190137,1,0.935592105263158,0.9166118421052633
146820,14,0.9973127309371852,0.9982154853879746
146820,10,0.9962420221699696,0.9971867651998656
359955,15,0.7451267056530214,0.7453703703703703
