task_id,seed,ensemble,individual
2073,10,0.7181208053691275,0.7046979865771812
359959,13,0.5675675675675675,0.5405405405405406
2073,17,0.7181208053691275,0.7046979865771812
168784,6,0.8153846153846154,0.8205128205128205
168784,10,0.8256410256410256,0.8153846153846154
359954,11,0.6891891891891891,0.6216216216216216
359954,5,0.6756756756756757,0.6486486486486487
190146,11,0.8823529411764706,0.8470588235294118
168784,9,0.8153846153846154,0.7948717948717948
2073,20,0.7046979865771812,0.6711409395973155
2073,1,0.7181208053691275,0.6845637583892618
359959,19,0.5540540540540541,0.5472972972972973
359954,8,0.6756756756756757,0.6756756756756757
2073,6,0.7046979865771812,0.6845637583892618
359954,18,0.7297297297297297,0.7432432432432432
359954,20,0.6891891891891891,0.7027027027027027
359959,20,0.581081081,0.5405405405405406
168784,16,0.8205128205128205,0.8205128205128205
168784,2,0.8358974358974359,0.8153846153846154
168784,0,0.8153846153846154,0.7794871794871795
190146,15,0.8941176470588236,0.8705882352941177
190146,2,0.8823529411764706,0.8470588235294118
2073,5,0.7046979865771812,0.7114093959731543
168784,18,0.7948717948717948,0.8102564102564103
190146,9,0.8352941176470589,0.8470588235294118
190146,8,0.8470588235294118,0.8470588235294118
359959,1,0.5743243243243243,0.5743243243243243
359959,10,0.5945945945945946,0.5608108108108109
2073,18,0.6845637583892618,0.6711409395973155
359959,2,0.5540540540540541,0.5675675675675675
168784,15,0.8153846153846154,0.7846153846153846
2073,13,0.7181208053691275,0.697986577
2073,11,0.7114093959731543,0.6577181208053692
190146,12,0.8470588235294118,0.8470588235294118
2073,7,0.7114093959731543,0.7248322147651006
190146,7,0.8941176470588236,0.8705882352941177
359959,11,0.581081081,0.5878378378378378
359954,10,0.6891891891891891,0.6486486486486487
168784,19,0.8307692307692308,0.8205128205128205
359959,7,0.6013513513513513,0.6013513513513513
190146,6,0.8823529411764706,0.8705882352941177
359954,9,0.6351351351351351,0.6891891891891891
190146,17,0.8823529411764706,0.8470588235294118
168784,3,0.8153846153846154,0.7897435897435897
168784,4,0.841025641,0.7948717948717948
359959,6,0.6081081081081081,0.5405405405405406
190146,18,0.8941176470588236,0.8470588235294118
190146,13,0.8470588235294118,0.8470588235294118
190146,0,0.8941176470588236,0.8470588235294118
168784,1,0.8461538461538461,0.8102564102564103
2073,9,0.7248322147651006,0.6912751677852349
168784,20,0.8205128205128205,0.8102564102564103
168784,11,0.8051282051282052,0.8
168784,14,0.8307692307692308,0.8102564102564103
359954,2,0.6621621621621622,0.6621621621621622
359954,3,0.6891891891891891,0.6081081081081081
190146,20,0.8941176470588236,0.8470588235294118
190146,10,0.8705882352941177,0.8470588235294118
359959,3,0.5540540540540541,0.5405405405405406
359954,6,0.7027027027027027,0.7027027027027027
168784,5,0.8205128205128205,0.8051282051282052
190146,5,0.8823529411764706,0.8470588235294118
2073,3,0.7114093959731543,0.6912751677852349
359954,17,0.6756756756756757,0.6756756756756757
359959,17,0.5675675675675675,0.5540540540540541
359954,15,0.6756756756756757,0.6216216216216216
359959,0,0.5675675675675675,0.5337837837837838
359959,8,0.581081081,0.5878378378378378
190146,16,0.8588235294117647,0.8705882352941177
168784,7,0.8307692307692308,0.8
359954,4,0.6891891891891891,0.6486486486486487
2073,0,0.7248322147651006,0.6845637583892618
190146,4,0.8941176470588236,0.8705882352941177
2073,15,0.7181208053691275,0.6845637583892618
359954,16,0.6756756756756757,0.6756756756756757
359954,19,0.6756756756756757,0.6486486486486487
190146,1,0.8941176470588236,0.8705882352941177
359954,13,0.7027027027027027,0.7027027027027027
2073,19,0.7046979865771812,0.7046979865771812
359954,1,0.6891891891891891,0.7027027027027027
2073,2,0.697986577,0.6912751677852349
190146,14,0.8823529411764706,0.8705882352941177
190146,3,0.8588235294117647,0.8705882352941177
359954,0,0.7027027027027027,0.6486486486486487
168784,12,0.8153846153846154,0.8307692307692308
359959,14,0.5540540540540541,0.5540540540540541
359959,5,0.5472972972972973,0.5743243243243243
2073,16,0.7181208053691275,0.6845637583892618
359959,12,0.581081081,0.4797297297297297
359959,18,0.5743243243243243,0.581081081
2073,4,0.7046979865771812,0.6912751677852349
359959,9,0.5878378378378378,0.581081081
168784,17,0.8358974358974359,0.8102564102564103
359959,16,0.5472972972972973,0.5675675675675675
359954,7,0.6891891891891891,0.7162162162162162
190146,19,0.8823529411764706,0.8705882352941177
168784,8,0.8256410256410256,0.8
359954,12,0.7027027027027027,0.6351351351351351
359959,4,0.5472972972972973,0.5337837837837838
2073,12,0.7248322147651006,0.7114093959731543
168784,13,0.8307692307692308,0.8051282051282052
359954,14,0.7027027027027027,0.6621621621621622
2073,8,0.7114093959731543,0.697986577
2073,14,0.697986577,0.7315436241610739
359959,15,0.5743243243243243,0.5945945945945946