task id,run #,individual_tpot,ensemble_tpot_2000,ensemble_tpot_100,individual_random,ensemble_random_2000,ensemble_random_100
190411,14,0.929619429922828,0.9319688200149366,0.9331279561862086,0.928705346029375,0.9334858103061986,0.9348316529748568
168757,0,0.8355952380952382,0.7901190476190475,0.8435714285714286,0.7892857142857141,0.8013095238095237,0.8429761904761904
168911,4,0.8898790150613903,0.883246167313865,0.895636461583354,0.8862876254180602,0.8889250521873808,0.8957935848802496
146818,0,0.9288907813497976,0.9254843517138598,0.938684266553119,0.940387481371088,0.886523312752821,0.940600383223334
168911,8,0.9109784292159548,0.9161971672914188,0.9135148481515568,0.900759803371417,0.9049740746560122,0.915568674103836
359955,20,0.7365984405458089,0.582236842105263,0.7724171539961013,0.8048245614035088,0.7900828460038987,0.7853313840155945
359956,6,0.9560362173038228,0.9532193158953722,0.9598591549295774,0.9556338028169014,0.9482897384305834,0.958953722334004
359968,14,0.9369215399730842,0.9508169651334636,0.9347336090951872,0.931298970434036,0.9391094708509812,0.9408515592103632
359962,17,0.8614953673777203,0.8430726136608491,0.862120232708468,0.8558069381598793,0.8173023055375996,0.8536306830424478
359968,8,0.910220526919806,0.926650649361372,0.9178576441351068,0.9092049967387448,0.9233481121871878,0.9244296931117332
359962,12,0.8678302090066796,0.8634992458521871,0.8678302090066796,0.878517560870502,0.8515406162464987,0.8730876966171085
168757,5,0.8015476190476191,0.778452380952381,0.7997619047619048,0.7960714285714287,0.7534523809523809,0.8041666666666667
359968,11,0.9346840710375746,0.9335529520554166,0.937722405237824,0.936161956423022,0.9341474087467696,0.928178072804432
359972,17,0.9942281920077972,0.9971864339668616,0.9962079678362572,0.9939769127680312,0.9969960709064328,0.9962460404483432
359975,20,0.9893200663349916,0.957810945273632,0.9877280265339968,0.9838474295190712,0.9798341625207296,0.9755887230514096
168757,6,0.7092857142857143,0.6776190476190477,0.7259523809523808,0.7095238095238097,0.7110714285714287,0.7274999999999999
146820,4,0.985996808867988,0.9718676519986564,0.986710614712798,0.9934077930802822,0.9778930131004366,0.9876133691635874
359962,5,0.8003447532859298,0.8312648136177547,0.8054083171730231,0.816849816849817,0.8062917474682181,0.8237879767291533
146818,13,0.9150521609538004,0.8797104534809453,0.9080263998296784,0.9129231424313392,0.8935490738769427,0.9116457313178624
168911,17,0.8889362752800161,0.8938183205764181,0.8915512558640658,0.8677695225696394,0.883605306278198,0.8938295436690534
359968,6,0.938870036905853,0.9501647140415624,0.937846250381856,0.9389856257069494,0.9399681305162692,0.932430089416194
359975,8,0.9859369817578774,0.9944941956882256,0.9867993366500828,0.9867330016583749,0.9845439469320066,0.9787064676616916
190392,6,0.9636684518013632,0.970727848101266,0.962836741317754,0.9617514605647516,0.9631308828302498,0.9677357189224278
190137,7,0.9181578947368422,0.9010526315789474,0.9134210526315788,0.8926973684210526,0.8899999999999999,0.91375
359974,20,0.8014299662756327,0.7865935708846885,0.8056127212345556,0.7874816551279006,0.7792910478836363,0.8585959222436268
359956,17,0.9317907444668008,0.7476861167002011,0.9356136820925554,0.9086519114688127,0.9206237424547284,0.9355130784708248
168784,14,0.9657292819514068,0.970565215664962,0.9676089682592364,0.9631419422288688,0.96945520036897,0.97031038118235
146818,9,0.9418777943368108,0.9310197998722588,0.944432616563764,0.9286778794975517,0.8982329146263572,0.9391100702576112
146820,19,0.9979005710446758,0.9969978165938864,0.9878233120591198,0.9975856567013772,0.9872354719516292,0.9962840107490762
190137,6,0.947828947368421,0.943157894736842,0.9425657894736842,0.9071710526315788,0.9285526315789474,0.9410526315789474
359975,12,0.9880597014925372,0.978441127694859,0.9927694859038144,0.948424543946932,0.9772470978441128,0.9910447761194028
190137,20,0.9536184210526316,0.9582236842105264,0.9540131578947368,0.9402302631578948,0.9466447368421052,0.9383552631578947
168350,11,0.9655763291327398,0.9709605760813912,0.9661915536690504,0.9618932399623432,0.9669223908699028,0.964106396683568
146818,18,0.9152650628060464,0.9112199276133702,0.9152650628060464,0.9239940387481372,0.9039812646370023,0.9193101979987228
146820,13,0.9979215653342292,0.9977746053073564,0.9976696338595902,0.9982994625461874,0.998278468256634,0.9985513940208264
168757,14,0.780952380952381,0.7913095238095237,0.7948809523809525,0.7817857142857142,0.8269047619047618,0.817857142857143
359958,10,0.9447699652777776,0.9383680555555556,0.9496527777777778,0.881076388888889,0.9251302083333334,0.9373914930555556
190411,20,0.9165616442618868,0.9161765621110282,0.9159704070201644,0.9137493776450089,0.9190160567587752,0.9172968010953448
359972,14,0.995427479288499,0.9962041605750488,0.9957625182748536,0.9924083211500974,0.9942929154483432,0.9958005908869396
359972,2,0.9950981511939572,0.9931545443469786,0.995751096491228,0.9908092714424952,0.9941215886939572,0.9940835160818712
146818,10,0.9258037044922288,0.9288907813497976,0.9297423887587822,0.9325101128379816,0.9208005109644454,0.9357036406216734
359955,2,0.7837475633528265,0.7715643274853801,0.788864522417154,0.788620857699805,0.7605994152046783,0.777046783625731
168350,14,0.9733492163112952,0.9761631459857631,0.9735412159149088,0.9711918014104746,0.972686508002048,0.9725832824087072
168911,1,0.8879093623038764,0.892437880182263,0.8812821261026688,0.8839195528719894,0.8735494152768737,0.8914278018450764
168757,16,0.7732142857142857,0.7672619047619047,0.7816666666666667,0.8128571428571428,0.7720238095238096,0.7975
190137,19,0.9127631578947368,0.930921052631579,0.9389473684210526,0.9255263157894738,0.9317105263157894,0.9409868421052632
146820,8,0.9965779308028216,0.9964729593550554,0.9962630164595232,0.9966619079610346,0.9964939536446086,0.996703896540141
359968,20,0.937904044782404,0.943790817295387,0.940521305492945,0.930349490996458,0.9274927963407888,0.942387238996359
359972,4,0.9962136787280702,0.9963336074561404,0.9958082054093568,0.9940340216861598,0.9928956505847952,0.9943804824561404
359972,16,0.9960328338206628,0.9962308114035088,0.9964135599415204,0.9906455592105264,0.9951381274366472,0.9949211135477584
2073,2,0.8642125594630651,0.8818985681452662,0.8917814207241334,0.8889200806039463,0.8912865339515716,0.8914153605524906
190411,10,0.8990151232262882,0.9099141150112025,0.9039006099078916,0.9124113144137416,0.9060399551904408,0.9129325367189444
359968,18,0.9137790107249896,0.9049116984123052,0.9127882495727342,0.9047383152106606,0.904135602176372,0.9030705339376978
146818,7,0.934958484138812,0.944432616563764,0.9410261869278264,0.9302746433893976,0.931232701724505,0.9452842239727486
359958,20,0.923828125,0.9288194444444444,0.9289279513888888,0.9127604166666669,0.9171006944444444,0.9332682291666666
168911,6,0.8823651545419855,0.888240443536621,0.8940315593364907,0.88973311485713,0.8979259724809768,0.8946488294314381
168784,19,0.9692007319908498,0.9719976527137512,0.9701767094923728,0.9695106216641988,0.971793819238334,0.9734980501781216
190137,0,0.9267105263157897,0.9194736842105264,0.9264473684210528,0.9124342105263158,0.8690131578947368,0.9369736842105264
359972,3,0.9918296174463938,0.9867355019493178,0.9928309271442496,0.9876892208820662,0.9942891081871345,0.9922331871345028
359965,4,0.9999608625885484,0.9999902156471372,1.0,0.9999804312942742,0.9999902156471372,1.0
359965,18,0.999608625885484,0.9985225627177018,0.9996379789440726,0.9996281945912096,0.9996184102383469,0.99969668506125
190411,13,0.92856142643764,0.9338281055514064,0.9304246016928056,0.92559357107294,0.93599856858352,0.9373755290017426
359962,10,0.7808661926308985,0.7985778926955398,0.7877181641887525,0.7924800689506571,0.8121956474897651,0.7970265029088559
359956,3,0.9030684104627766,0.8923541247484909,0.914788732394366,0.913430583501006,0.912072434607646,0.9171026156941652
146820,18,0.9953182734296272,0.9969768223043332,0.996682902250588,0.992882935841451,0.994793416190796,0.9961580450117568
190392,9,0.9674821486530348,0.9730708373904576,0.9688463567023692,0.9608893216488152,0.9682124310288868,0.9706365628042845
359965,11,0.9999804312942742,0.9991781143595162,0.9999804312942742,0.9999315095299596,0.9997064694141128,0.9999119408242338
359972,19,0.9966496101364524,0.9970074926900584,0.9969199256822612,0.9936951754385964,0.9963031493664716,0.9950962475633528
146818,11,0.9574196295507772,0.9489035554609324,0.9597615499254843,0.9503938684266552,0.944006812859272,0.9661486054928676
190137,11,0.9457236842105264,0.9423684210526316,0.9463157894736842,0.9309868421052632,0.9377631578947369,0.9436184210526316
359965,12,0.999109623889476,0.999109623889476,0.999305310946734,0.999305310946734,0.9991389769480647,0.9992759578881452
190137,9,0.9166447368421052,0.9374342105263158,0.9422368421052632,0.9207894736842106,0.88625,0.9367763157894736
359955,19,0.6764132553606238,0.6542397660818714,0.648391812865497,0.6405945419103314,0.6437621832358674,0.6488791423001948
359972,18,0.9934020163255362,0.9947574013157896,0.9931811951754386,0.9897775036549707,0.9924273574561404,0.9941063596491228
359962,0,0.8468433527257058,0.8464339581986641,0.8681749622926094,0.8437405731523379,0.8288730876966172,0.8661495367377721
359972,0,0.9949820297270956,0.9967029117933724,0.9959071942007798,0.9928195053606238,0.9963412219785576,0.9953513340643276
359968,17,0.927657923199498,0.9254204542639884,0.9267497254765974,0.914811053591922,0.91854292059875,0.9156697132572098
168784,3,0.961850221961908,0.9708469875545316,0.9666556810001996,0.9700847761614056,0.9707233380200098,0.9730109858926568
359968,0,0.9286899660664304,0.9360959056795384,0.9333878251967074,0.9205657246179376,0.938027889926436,0.9385397831884345
359965,10,0.9990166725372784,0.999163437830222,0.9992417126531252,0.999412938828226,0.9991585456537904,0.9994276153575202
168911,20,0.8821014118650535,0.883470629166573,0.8802271553949406,0.8777580750151511,0.8829543669053445,0.8803618325065655
359956,18,0.9325955734406438,0.9254527162977868,0.9329979879275654,0.9165995975855132,0.917907444668008,0.9233400402414488
190137,10,0.9277631578947368,0.9226315789473684,0.9446052631578948,0.9342105263157896,0.9561184210526316,0.9404605263157896
146820,14,0.9984044339939536,0.9983624454148472,0.9988033254954652,0.9983624454148472,0.9977116224386966,0.9986983540476992
359958,3,0.9486762152777776,0.9392361111111112,0.9457465277777778,0.9294704861111112,0.9393446180555556,0.9481336805555556
359960,11,1.0,1.0,1.0,1.0,1.0,1.0
359962,13,0.8046110751993105,0.8066149536737772,0.8093945270415859,0.8228614522732169,0.8076061193708253,0.816785175608705
190137,17,0.8879605263157895,0.9057236842105264,0.9026973684210526,0.8951973684210527,0.9273684210526316,0.91625
190411,2,0.9084710293751556,0.917950273836196,0.9119523276076674,0.9064872728404284,0.9153441623101818,0.9198173388100572
190137,3,0.8723026315789473,0.8911184210526315,0.8714473684210526,0.8510526315789474,0.8688157894736842,0.898157894736842
190411,0,0.9094162310181728,0.9029126213592232,0.91075429424944,0.9066000746825992,0.914037216828479,0.9142628205128204
359974,13,0.8140454005768264,0.8469053778420103,0.8555273699731479,0.8606073857275832,0.8254242066332852,0.8774080103169098
359962,15,0.8719887955182073,0.8417797888386124,0.8684550743374273,0.8639086403792287,0.8587588881706529,0.8587804352510234
359958,7,0.9225260416666666,0.941948784722222,0.9266493055555556,0.9429253472222224,0.9421657986111112,0.9456380208333334
359960,6,1.0,1.0,1.0,1.0,0.999602448497768,1.0
359975,4,0.9924378109452736,0.9949585406301824,0.9924378109452736,0.9914427860696516,0.9696185737976784,0.9897844112769484
359972,6,0.9927928545321636,0.9941330104775828,0.9952599597953216,0.9943671570419104,0.9953437195419104,0.9960823282163742
359975,15,0.9979436152570482,0.9966169154228856,0.9976119402985076,0.9985406301824212,0.9980099502487564,0.999004975124378
359965,3,0.9995009980039922,0.9655982153340378,0.9995939493561896,0.9994178310046572,0.9987182497749598,0.9988845837736292
359956,5,0.9143863179074446,0.957344064386318,0.9297786720321932,0.914989939637827,0.946579476861167,0.9366197183098592
168911,16,0.8843348072994993,0.8902718233036295,0.8882516666292564,0.8816917689838611,0.882168750420866,0.8957374694170726
359956,12,0.9378269617706236,0.933199195171026,0.937927565392354,0.940543259557344,0.9295774647887324,0.9396378269617708
190392,8,0.9821689386562804,0.9843496429730608,0.9827369360597208,0.9719449853943524,0.9721376987990912,0.9759818240830898
359958,11,0.9279513888888888,0.9029947916666669,0.9391276041666666,0.9236111111111112,0.9337022569444444,0.9556206597222222
359965,19,0.9998776955892136,0.9999706469414114,0.9999804312942744,0.999902156471371,0.9999608625885484,1.0
168911,7,0.8747615092814975,0.8898341226908487,0.8870732419025387,0.8899519651635205,0.8815851496038248,0.8894300913559741
168350,9,0.9659706508993012,0.9737352800303896,0.9659706508993012,0.9697590301749054,0.9723603151270914,0.9706178671115
190411,11,0.9241971620612396,0.9142472616380384,0.9264143017176998,0.9203307816778692,0.9218010953447846,0.9270522155837692
359956,13,0.9474849094567404,0.9424547283702214,0.9464788732394368,0.9506036217303824,0.933199195171026,0.9517102615694164
190137,18,0.9154605263157896,0.9125,0.915657894736842,0.90625,0.8773684210526315,0.9101315789473684
168757,8,0.7520238095238093,0.7761904761904762,0.7725000000000001,0.7592857142857143,0.745595238095238,0.7746428571428572
359975,5,0.9933665008291874,0.982089552238806,0.9909784411276948,0.9902487562189054,0.9886567164179104,0.9907131011608624
359958,17,0.9308810763888888,0.9545355902777778,0.9375,0.9332682291666666,0.9301215277777776,0.9545355902777778
146818,5,0.9593357462209922,0.7779433681073025,0.9567809239940388,0.9551841601021928,0.9376197572918884,0.9576325314030232
190392,11,0.96882099967543,0.9739735475494968,0.9706264199935086,0.965899870172022,0.9666707237909768,0.9702409931840312
168911,2,0.8794359273641444,0.8837736526677291,0.8766918812147876,0.8749523018562995,0.8857264707862899,0.8872864806626115
359955,7,0.7743664717348928,0.7886208576998051,0.7743664717348928,0.7887426900584795,0.7553606237816763,0.7682748538011694
359958,8,0.9572482638888888,0.7511935763888888,0.9544270833333331,0.9580078125,0.9443359375,0.9639756944444444
168350,5,0.9583815052768924,0.9692718053743372,0.9654896196343336,0.962597238508927,0.9657580061770196,0.964618395626538
359956,19,0.9375251509054326,0.9463782696177062,0.9493963782696178,0.9524144869215292,0.9326961770623744,0.9474849094567404
359972,10,0.9931355080409356,0.9932383040935672,0.9934743542884992,0.988762868542885,0.9921303910818712,0.992636756822612
168911,12,0.8911808938070975,0.8976790644429979,0.894727391079886,0.8907263585553636,0.8998002289510898,0.8960180467329576
146820,3,0.9915393013100436,0.982616728249916,0.9915393013100438,0.991917198522002,0.9785648303661404,0.9917702384951292
359965,1,0.99969668506125,0.9989237211850808,0.9996771163555244,0.99750499001996,0.9990215647137098,0.9984638566005244
190411,15,0.9241660443116754,0.9209220189195916,0.9233569828230024,0.9216844037839184,0.9206575180482948,0.9210153721682848
190137,15,0.908815789473684,0.914078947368421,0.9186842105263158,0.9286184210526316,0.91625,0.926842105263158
359960,19,0.999794634348904,0.999041067702966,0.9999659273220866,0.9998924268502584,1.0,1.0
168350,7,0.9739706343832066,0.9810684261813136,0.973999537549342,0.975642888995326,0.9790039143144996,0.978487786347796
359956,4,0.9445674044265592,0.9547283702213278,0.95,0.9411468812877264,0.932092555331992,0.9508048289738432
359972,15,0.9907445480019492,0.994563230994152,0.9907331262183235,0.988559180068226,0.9878396076998052,0.991376553362573
359962,7,0.7867916397328162,0.7687567334626157,0.7815987933634994,0.778409825468649,0.7617539323421677,0.776642964878259
190137,12,0.934078947368421,0.9003947368421052,0.930657894736842,0.9119736842105264,0.9148684210526316,0.9319736842105264
168784,2,0.953615547531368,0.9668671006033056,0.9566164236612822,0.9548424422799264,0.9576836249496872,0.9555484222759004
359975,7,0.99575456053068,0.9950912106135988,0.9955555555555556,0.992039800995025,0.9934328358208956,0.9951575456053068
359955,13,0.7537768031189084,0.7681530214424951,0.7557261208576997,0.7398879142300195,0.724780701754386,0.748416179337232
359965,8,0.999784744237016,0.9993738014167745,0.9998434503541936,0.9994618605925404,0.9989922116551212,0.9998140972956048
146820,20,0.999307188444743,0.9990132683909976,0.9992861941551898,0.9989712798118912,0.9989082969432316,0.9990972455492106
359968,5,0.901964183984346,0.9208959783353562,0.9347914034957356,0.9039457062888564,0.9316870185520024,0.9461356186890578
359975,6,0.9987396351575456,0.9993366500829188,0.9995356550580432,0.9991376451077943,0.9956218905472638,0.9986733001658376
359968,2,0.9206565443902276,0.9290449888126552,0.920136394785294,0.9220270973175142,0.9322814752433556,0.9280624840033356
168784,1,0.9609261122883026,0.9622493340073882,0.961682328408104,0.958782529575099,0.964975597935438,0.9656386946691948
359968,4,0.9328676755917732,0.9215482294272576,0.921845457772934,0.9093783799403892,0.927261618738596,0.909015100851229
168350,20,0.9676903892843576,0.9729796686871356,0.9715840586651692,0.9648702660742894,0.9706715444200372,0.971798767899318
190411,19,0.9120923574807068,0.8497712845407019,0.9157486930545182,0.914523431665422,0.9118978715459296,0.9192261015683348
359955,1,0.7166179337231969,0.7370857699805069,0.7490253411306044,0.7492690058479532,0.7391569200779727,0.7373294346978557
359968,3,0.9329089573064508,0.925990141926535,0.9248920483161188,0.9270263129649352,0.9372517936905028,0.9278973571446264
359958,18,0.9181857638888888,0.9278428819444444,0.9273003472222224,0.9444444444444444,0.9294704861111112,0.9493272569444444
146820,2,0.998005542492442,0.9977116224386966,0.998089519650655,0.9975016795431644,0.9967668794088008,0.997837588176016
146818,14,0.9400681285927188,0.949755162869917,0.9484777517564404,0.9303810943155204,0.948264849904194,0.9418777943368108
190137,13,0.9066447368421052,0.9038815789473684,0.8982894736842105,0.8930921052631579,0.8932236842105263,0.9089473684210526
359962,16,0.8246929541047189,0.803038138332256,0.832471450118509,0.8358112475759535,0.8301012712777418,0.8417797888386123
359955,8,0.7608430799220272,0.7833820662768031,0.7791179337231968,0.7815545808966862,0.7355019493177387,0.7937378167641325
190411,1,0.9107815222803088,0.9106687204381378,0.9107115073437888,0.9113144137415984,0.9106609410007468,0.9133604057754544
168350,4,0.9692759343980708,0.9707830280608452,0.9698395461377112,0.9700810940261284,0.9552578988224024,0.971142253125671
190392,3,0.9731012658227848,0.9778886725089256,0.9728172671210646,0.969368711457319,0.967472005842259,0.9728274099318404
168757,12,0.7536904761904762,0.7678571428571429,0.7883333333333333,0.7620238095238095,0.7464285714285714,0.7775000000000001
168350,17,0.9660676829570418,0.968074388491585,0.9675169702875452,0.9622483360034354,0.8970923414867789,0.9653327167324558
190392,19,0.9716812723141836,0.9777973872119442,0.9736591204154494,0.9624918857513792,0.9572683382018824,0.966265011359948
359975,16,0.98514096185738,0.9938308457711442,0.991641791044776,0.9688225538971807,0.9601990049751244,0.9934328358208956
359962,11,0.868476621417798,0.867313079077785,0.8718810601163542,0.8468433527257057,0.840034475328593,0.8489980607627666
146818,2,0.9712582499467746,0.9548648073238236,0.9780711092186504,0.9792420694060038,0.9676389184585904,0.9748775814349584
190137,14,0.9046710526315792,0.938157894736842,0.95,0.941282894736842,0.8880921052631578,0.9436842105263158
359972,8,0.9948373538011696,0.9944147478070176,0.9944566276803118,0.9917496649610136,0.9902914839181288,0.9958082054093568
359956,11,0.9428571428571428,0.7760563380281691,0.9482897384305836,0.9417505030181086,0.945774647887324,0.9496981891348087
190137,2,0.8978947368421053,0.922828947368421,0.919407894736842,0.9234210526315788,0.8998684210526315,0.930657894736842
359958,0,0.9293619791666669,0.9267578125,0.9233940972222222,0.9315321180555556,0.9330512152777778,0.9365234375
146820,1,0.9971447766207592,0.997900571044676,0.9970607994625462,0.9974596909640576,0.9969768223043332,0.9970817937520994
168757,17,0.8023809523809524,0.8048809523809524,0.8065476190476192,0.793452380952381,0.8189285714285715,0.821547619047619
146820,10,0.99391165602956,0.9810211622438696,0.99391165602956,0.9922741014444072,0.9693693315418206,0.9959481021162244
359955,9,0.7069931773879142,0.7551169590643274,0.7211257309941521,0.7632797270955165,0.7535331384015593,0.7411062378167641
359975,2,0.9907794361525704,0.9963515754560532,0.9942951907131012,0.9971475953565504,0.9884577114427862,0.9961525704809286
190137,16,0.9032236842105263,0.901842105263158,0.9032236842105263,0.9034210526315788,0.9038157894736842,0.9242105263157896
168757,11,0.795952380952381,0.8221428571428572,0.805595238095238,0.8142857142857143,0.7283333333333333,0.8126190476190476
146820,9,0.996787873698354,0.9971027880416528,0.9974596909640578,0.9967458851192476,0.9968298622774604,0.9971027880416526
359955,12,0.7412280701754386,0.7256335282651072,0.726364522417154,0.6667884990253412,0.7203947368421051,0.698830409356725
359968,9,0.9252140456906018,0.9235875461323164,0.9245452819128296,0.9163880150925948,0.9272120806809832,0.9122763563107358
168757,20,0.7922619047619046,0.813452380952381,0.8239285714285715,0.7342857142857143,0.7926190476190477,0.8253571428571428
