task id,run #,individual,ensemble_70
190137,13,0.9066447368421052,0.906578947368421
146820,10,0.9960950621430972,0.9953182734296272
190411,7,0.9117617313915858,0.9142433719193428
190137,16,0.9032236842105263,0.9032236842105263
359960,13,0.9999779970367584,0.9999779970367584
190411,10,0.8990151232262882,0.9023369429922828
359974,4,0.8754841611053678,0.8779021751058421
359968,18,0.9137790107249896,0.9062822513395916
2073,1,0.8648034736438224,0.8875623039644157
359955,11,0.7663255360623782,0.7663255360623782
359962,6,0.8462400344753287,0.856431803490627
359958,10,0.9447699652777776,0.9454210069444444
359975,12,0.9880597014925372,0.9929021558872306
359962,18,0.8428355957767721,0.8431372549019608
359960,11,1.0,1.0
190411,5,0.9186815409509584,0.9225479213343292
2073,14,0.8797157323469484,0.8869090080765453
190411,14,0.929619429922828,0.9330034851879512
359975,3,0.998341625207297,0.9987396351575456
168784,17,0.9640904130026,0.9642262506732894
359960,8,1.0,1.0
146820,8,0.9965779308028216,0.996263016459523
359974,6,0.7963703414623149,0.8659443262497293
146820,14,0.9984044339939536,0.9987403426268056
190411,15,0.9241660443116754,0.923426997759522
359960,5,1.0,1.0
359962,10,0.7808661926308985,0.7804352510234863
190411,16,0.9164371732636296,0.9164721807318894
146820,1,0.9971447766207592,0.9970817937520994
359968,2,0.9206565443902276,0.920408854102164
359974,3,0.8786017956002992,0.9035206121363388
359962,2,0.839474251238957,0.8371902607196725
359968,7,0.8951857264343333,0.899363435959676
359974,18,0.8277475426738221,0.8277475426738221
359968,11,0.9346840710375746,0.9310347674601012
168784,0,0.9680821560045616,0.9735592557941648
359962,7,0.7867916397328162,0.779788838612368
359960,4,1.0,1.0
359962,3,0.8647489765136824,0.8677009265244561
190411,18,0.9268499502116008,0.926966641772467
359975,14,0.9964179104477612,0.9972139303482588
2073,8,0.8894388905979485,0.897079329170522
168784,4,0.9657734948818454,0.9683819892811144
359975,10,0.9900497512437813,0.9897180762852404
359974,12,0.8647780964804845,0.8657345309734092
359974,7,0.7900601903186166,0.8692747795231189
359955,10,0.7800925925925926,0.7835038986354774
359955,13,0.7537768031189084,0.7508528265107212
359958,14,0.9532335069444444,0.9549696180555554
359960,12,0.579181083538864,1.0
359958,7,0.9225260416666666,0.9228515625
168784,18,0.9514286711012292,0.9514427295892284
168784,15,0.9667867138819266,0.9667867138819266
146820,3,0.9915393013100436,0.9917282499160228
359968,20,0.937904044782404,0.9364013903681504
2073,7,0.8770172272672199,0.8917655530411908
359975,9,0.9972802653399668,0.998341625207297
2073,5,0.8778874588919505,0.8792994640082794
359955,19,0.6764132553606238,0.6733674463937622
359968,9,0.9252140456906018,0.9197731156961336
359958,20,0.923828125,0.9231770833333331
359974,1,0.9081558510854276,0.912531876909019
359974,19,0.8662462229079476,0.8769073992002616
146820,17,0.9928199529727914,0.9944155189788376
168784,5,0.96499802106588,0.9679362540059256
359968,10,0.8844111989035576,0.8898686415838968
359958,19,0.93994140625,0.952582465277778
168784,9,0.9702202113679316,0.9727899742820416
359968,4,0.9328676755917732,0.9157522766865646
359975,19,0.981094527363184,0.9908457711442786
2073,16,0.8657822995590954,0.8658569850066884
359974,15,0.8131342687798133,0.8412091305955238
168784,6,0.9707888164474796,0.9743113323831342
146820,2,0.998089519650655,0.9982574739670812
359955,7,0.7743664717348928,0.7743664717348928
190137,2,0.8978947368421053,0.9143421052631578
359955,9,0.7069931773879142,0.7323343079922028
359955,6,0.8092105263157896,0.8057992202729045
2073,20,0.8298073202480957,0.8875080095185709
2073,19,0.8573329557222209,0.8705645902741159
2073,4,0.8816190154919987,0.8852046377215832
359975,20,0.9893200663349916,0.983084577114428
190411,2,0.9084710293751556,0.9107931914363953
359958,9,0.9376085069444444,0.9376085069444444
359962,5,0.8003447532859298,0.7979745744451626
359960,10,1.0,1.0
359962,0,0.8468433527257058,0.860245636716225
359958,4,0.9644097222222222,0.9654947916666666
359962,8,0.8599224305106659,0.8635207929325577
190411,13,0.92856142643764,0.9289698469006722
359955,0,0.7210038986354775,0.719541910331384
359958,17,0.9308810763888888,0.9379340277777778
359974,13,0.8140454005768264,0.8436153853553332
359968,5,0.901964183984346,0.908998588165358
190411,12,0.922446788648245,0.9186776512322627
359955,20,0.7365984405458089,0.7392787524366472
359975,13,0.9948922056384742,0.9945605306799336
359975,17,0.9927031509121064,0.9963515754560532
190411,6,0.9270522155837688,0.9258619616629324
359955,17,0.7359892787524366,0.7257553606237817
359974,16,0.8431421182442592,0.8148138703922231
168784,20,0.9655325843670062,0.9657927002701152
359958,3,0.9486762152777776,0.9461805555555556
359975,0,0.9913101160862354,0.9913101160862356
190411,1,0.9107815222803088,0.9110032362459546
359958,11,0.9279513888888888,0.9319661458333331
359955,3,0.6476608187134503,0.6364522417153996
190411,17,0.9257336009459796,0.9286703385611152
146820,20,0.999307188444743,0.9993281827342964
359968,1,0.9104104228073218,0.9255690684368266
359974,20,0.8014299662756327,0.8019358557376198
146820,7,0.9979635539133356,0.997921565334229
359955,2,0.7837475633528265,0.7951998050682261
146820,16,0.994184581793752,0.9964099764863956
168784,19,0.9692007319908498,0.9699167419518456
146820,12,0.99468844474303,0.9970188108834396
359960,16,1.0,1.0
359962,20,0.8890540831717303,0.8890540831717303
359955,16,0.8396686159844055,0.8248050682261208
146820,6,0.9907415183070204,0.9914553241518308
359958,2,0.9319661458333334,0.9359809027777778
359958,1,0.9423828125,0.9411892361111112
2073,3,0.887277638616157,0.8883023127496694
359974,11,0.822109772897389,0.8221140435543787
359960,18,0.999818773778248,0.99992634692799
168784,11,0.9743694697240632,0.9746228303673474
359975,15,0.9979436152570482,0.99787728026534
146820,4,0.985996808867988,0.9865426603963724
359960,20,0.9999659273220866,1.0
359958,5,0.9453125,0.9475911458333331
359962,19,0.8403792286145227,0.8570135746606334
359974,8,0.7593802598049458,0.8353685686780687
359958,6,0.949978298611111,0.9473741319444444
168784,10,0.9715797901308888,0.973385162594606
168784,13,0.9579438854310948,0.9614722367202908
359955,14,0.7948343079922028,0.7909356725146199
359960,6,1.0,1.0
190137,1,0.9366447368421053,0.9375657894736842
190137,11,0.9457236842105264,0.9461842105263158
359962,1,0.8577246283128637,0.8596207713854773
359955,5,0.7523148148148149,0.7493908382066277
146820,19,0.9979005710446758,0.9899647295935506
359975,16,0.98514096185738,0.9899834162520732
359975,18,0.998407960199005,0.9965505804311776
190411,9,0.8951254045307444,0.8999097585262634
2073,6,0.9008025902260298,0.9136389959758642
168784,14,0.9657292819514068,0.9667759091574232
146820,15,0.998257473967081,0.9984884111521666
359968,6,0.938870036905853,0.941363452472362
359974,10,0.8674502375663133,0.7727718121363323
359955,8,0.7608430799220272,0.7657163742690057
359975,4,0.9924378109452736,0.9887893864013266
2073,2,0.8642125594630651,0.8905844610278264
359955,18,0.75,0.7777777777777778
2073,18,0.8719323103272139,0.8809377821716444
168784,3,0.961850221961908,0.9663138833944342
359968,17,0.927657923199498,0.9284092504066248
359958,13,0.9282769097222222,0.9295789930555556
359962,9,0.8151260504201681,0.8224736048265461
146820,18,0.9953182734296272,0.996346993617736
359975,1,0.9734660033167496,0.9783084577114428
359958,15,0.9430881076388888,0.9427625868055556
190137,9,0.9166447368421052,0.941907894736842
190411,4,0.9368270786656708,0.9401916853373165
359962,15,0.8719887955182073,0.8666451195862961
190137,15,0.908815789473684,0.9171710526315788
359962,13,0.8046110751993105,0.8046110751993105
359958,8,0.9572482638888888,0.9571397569444444
359962,17,0.8614953673777203,0.8619909502262443
2073,15,0.8442928979868471,0.8448249790517611
359968,16,0.9293669861871382,0.9326942923901288
359962,4,0.8502046972635209,0.8521439344968756
359968,19,0.9276826922283044,0.9221261734327396
2073,13,0.8075143943231818,0.8996339089001489
359955,4,0.7029727095516569,0.7100389863547758
190137,5,0.9063815789473684,0.9063815789473684
2073,11,0.873038175309218,0.8906908849687666
168784,7,0.9768129219306604,0.977278207456737
359960,19,0.999794634348904,0.9999659273220866
359968,8,0.910220526919806,0.9129368637455724
359968,0,0.9286899660664304,0.9408928409250408
190137,7,0.9181578947368422,0.9161842105263158
359974,14,0.8088955751487548,0.8156106964953173
168784,2,0.953615547531368,0.9563292759155588
359955,1,0.7166179337231969,0.7446393762183235
168784,12,0.9659236654253188,0.9673053072420372
146820,9,0.996787873698354,0.9966619079610346
359960,2,1.0,1.0
2073,9,0.9254198820524128,0.9263494061825078
190411,11,0.9241971620612396,0.9236370425690814
359962,12,0.8678302090066796,0.8678302090066796
359960,14,1.0,1.0
146820,0,0.994961370507222,0.994520490426604
190137,19,0.9127631578947368,0.940921052631579
359968,14,0.9217298689718376,0.9239921069361536
146820,13,0.9979215653342292,0.9980475310715484
190137,14,0.9046710526315792,0.940657894736842
190137,8,0.929342105263158,0.9345394736842104
190137,20,0.9536184210526316,0.9553947368421052
359958,18,0.9181857638888888,0.9180772569444444
359975,11,0.9962189054726368,0.9964179104477612
359975,8,0.9859369817578774,0.9860696517412936
359960,15,1.0,1.0
190411,20,0.9165616442618868,0.9133098394324124
359960,1,1.0,1.0
359962,14,0.8527257056668822,0.8588235294117648
190411,19,0.9120923574807068,0.913772715957182
359974,2,0.8651899081735477,0.8877996949554102
359962,16,0.8246929541047189,0.8298427063132945
2073,10,0.8504504117862159,0.8530182601649534
190137,10,0.9277631578947368,0.9398026315789474
359960,7,1.0,1.0
190137,4,0.925065789473684,0.9250657894736842
190137,6,0.947828947368421,0.9444736842105262
359975,2,0.9907794361525704,0.9940298507462688
190137,17,0.8879605263157895,0.9069736842105264
2073,12,0.8954179985251418,0.885792919901563
359960,17,0.9999339911102754,1.0
359960,3,1.0,1.0
359958,16,0.927517361111111,0.9189453125
146820,11,0.9976696338595902,0.997648639570037
190411,0,0.9094162310181728,0.9084710293751554
190137,3,0.8723026315789473,0.8734868421052632
168784,16,0.967966268569082,0.9682409424289172
359974,17,0.8521777327594106,0.8738719090640263
190137,18,0.9154605263157896,0.9157894736842106
359955,15,0.7373294346978557,0.7373294346978557
359968,12,0.9083958751310692,0.9193602985493604
359974,0,0.7914592531139377,0.7850704545215904
359975,5,0.9933665008291874,0.9911774461028192
359955,12,0.7412280701754386,0.7468323586744638
2073,0,0.9025861536035724,0.9115192194075012
190137,12,0.934078947368421,0.9388157894736842
359960,0,0.9999779970367584,1.0
168784,1,0.9609261122883026,0.9605256956768808
359975,6,0.9987396351575456,0.9992703150912108
359968,13,0.9340648453174152,0.930134826080136
359958,12,0.9637586805555556,0.9636501736111112
359962,11,0.868476621417798,0.8744236156000862
359968,15,0.9323970640444522,0.934097870689157
359960,9,0.9999559940735168,0.9999779970367584
359975,7,0.99575456053068,0.9956218905472638
190411,8,0.9292421272093604,0.932622292755788
190411,3,0.9306813231267116,0.9311247510580036
168784,8,0.9675959025767707,0.9675748465965316
359974,5,0.7591123240870568,0.759117043896632
359974,9,0.8554991702364566,0.873214684544747
359968,3,0.9329089573064508,0.9273854638826278
359958,0,0.9293619791666669,0.9295789930555556
2073,17,0.8542322242268365,0.8653411092754719
190137,0,0.9267105263157897,0.930657894736842
